a1_en_que_tipo_de_trabajo_en_plataforma_participa_principalmente,a1_1_tipo_de_trabajo_otro,a2_en_que_ano_comenzo_a_trabajar_en_esta_plataforma,a3_en_promedio_cuantas_horas_a_la_semana_dedica_a_esta_actividad,a4_esta_actividad_es_actualmente_su_principal_fuente_de_ingreso,b1_que_tipo_de_transporte_utiliza_principalmente,b2_en_promedio_cuantos_pedidos_completa_por_dia_de_trabajo,b3_como_afectaron_los_periodos_de_cuarentena_su_volumen_de_trabajo,b4_en_que_plataformas_trabaja_principalmente,b4_en_que_plataformas_trabaja_principalmente_upwork_fiverr,b4_en_que_plataformas_trabaja_principalmente_plataformas_de_redaccion_blogging,b4_en_que_plataformas_trabaja_principalmente_mercado_local,b5_sus_clientes_son_principalmente_internacionales_o_locales,b6_como_afecto_la_devaluacion_del_peso_2022_2023_sus_ingresos,b7_que_tipo_de_vehiculo_utiliza,b8_en_promedio_cuantos_viajes_completa_por_dia_de_trabajo,b9_como_afecto_el_aumento_de_la_gasolina_sus_decisiones,b10_en_que_tipo_de_plataforma_o_actividad_participa,b10_en_que_tipo_de_plataforma_o_actividad_participa_servicios_a_domicilio_limpieza_reparaciones_belleza,b10_en_que_tipo_de_plataforma_o_actividad_participa_venta_comercio_redes_sociales_marketplaces,b10_en_que_tipo_de_plataforma_o_actividad_participa_ensenanza_cuidado_tutorias_nineras_adultos_mayores,b10_en_que_tipo_de_plataforma_o_actividad_participa_otra_actividad_no_listada,b11_como_consiguio_este_trabajo_actividad,b11_como_consiguio_este_trabajo_actividad_contactos_personales_familia_amigos,b11_como_consiguio_este_trabajo_actividad_redes_sociales_instagram_facebook,b11_como_consiguio_este_trabajo_actividad_plataforma_app_especifica,b11_como_consiguio_este_trabajo_actividad_busqueda_propia_oferta_demanda_local,b12_como_recibe_los_pagos_principalmente,b13_que_porcentaje_de_sus_ingresos_totales_representa,b14_ve_esta_actividad_como_temporal_o_permanente,c1_ante_bonos_por_metas_usted,c2_si_el_pago_subiera_un_20_percent_usted,c3_si_consiguiera_un_empleo_formal_usted,d1_su_ingreso_real_comparado_con_el_inicio_es,d2_en_el_periodo_de_mayor_inflacion_usted,d3_mirando_hacia_el_futuro_planea,e1_genero,e2_edad_anos_38,e3_nivel_educativo_mas_alto_alcanzado,e4_en_que_ciudad_vive,e5_recibe_remesas_o_apoyo_familiar_regular,e2_edad_anos_42,id,uuid,submission_time,validation_status,notes,status,submitted_by,version,tags,index,horas_semanales,ingreso_principal,sector,educacion,edad,genero,ciudad,respuesta_bonos,respuesta_salario,periodo
Freelancer Digital,NA,2023,10-20 horas,"No, es un complemento",NA,NA,NA,Mercado local,0,0,1,Mayormente locales (DOP),No cobro en dólares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aumenta significativamente sus horas,Trabajaría algunas horas más,Reduciría sus horas,Menor que antes,Aumentó sus horas,"Seguir, aumentando horas",Femenino,18 - 24  años,Universitario (en curso),Santo Domingo,No,NA,650079737,1d810d2b-a129-4d6c-81d7-d3b861d431f1,2026-01-16T18:33:42Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,11,15,0,Freelancer Digital,Universitario (en curso),18 - 24  años,Femenino,Santo Domingo,3,2,1
Freelancer Digital,NA,2025,31-40 horas,"Sí, es mi único ingreso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No cambia sus horas,Trabajaría las mismas horas,Reduciría sus horas,No sé / No he hecho el cálculo,Aumentó sus horas,"Seguir, manteniendo horas",Femenino,18 - 24  años,Universitario (en curso),Santo Domingo,No,NA,650092688,6593d477-d017-4bc7-b02a-41fa1c5872b0,2026-01-16T18:55:26Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,12,35,1,Freelancer Digital,Universitario (en curso),18 - 24  años,Femenino,Santo Domingo,1,1,1
Freelancer Digital,NA,2025,10-20 horas,"No, es un complemento",NA,NA,NA,Mercado local,0,0,1,Mayormente internacionales (USD/EUR),No noté diferencia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No cambia sus horas,Trabajaría las mismas horas,Mantendría sus horas actuales,No sé / No he hecho el cálculo,NA,Formalizar como empresa propia,Masculino,18 - 24  años,Técnico,Santo Domingo,No,NA,650146908,dcb205be-783a-4780-9fd2-3f74cb7d9a65,2026-01-16T20:29:24Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,13,15,0,Freelancer Digital,Técnico,18 - 24  años,Masculino,Santo Domingo,1,1,1
Freelancer Digital,NA,2019 o antes,Más de 40 horas,"No, es un complemento",NA,NA,NA,Upwork/Fiverr,1,0,0,Mix 50/50,Me benefició significativamente,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aumenta significativamente sus horas,Trabajaría algunas horas más,Reduciría sus horas,Mayor que antes,Cambié de plataforma,Formalizar como empresa propia,Masculino,35-44 años,Universitario (en curso),Santo Domingo,No,NA,650193548,65aa8c5c-0581-42cc-b437-1daa89191e4b,2026-01-16T23:40:33Z,Approved,NA,submitted_via_web,NA,vMar2eobaovNLXogDnxiiB,NA,14,45,0,Freelancer Digital,Universitario (en curso),35-44 años,Masculino,Santo Domingo,3,2,0
"Conductor de Plataforma (Uber, Didi, etc.)",NA,2024,Menos de 10 horas,"Sí, es mi ingreso principal",NA,NA,NA,NA,NA,NA,NA,NA,NA,Automóvil propio,16+ viajes,Trabajé más horas para compensar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aumenta significativamente sus horas,Trabajaría algunas horas más,Reduciría sus horas,Mayor que antes,"Mantuvo sus horas, ganó menos","Seguir, manteniendo horas",Masculino,35-44 años,Universitario (graduado),Santo Domingo,No,NA,650457434,bf561642-dc77-4084-b98b-9eaea54cfa38,2026-01-17T13:22:53Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,15,5,1,"Conductor de Plataforma (Uber, Didi, etc.)",Universitario (graduado),35-44 años,Masculino,Santo Domingo,3,2,1
"Conductor de Plataforma (Uber, Didi, etc.)",NA,2024,10-20 horas,"Sí, es mi único ingreso",NA,NA,NA,NA,NA,NA,NA,NA,NA,Automóvil propio,1-5 viajes,"Trabajé igual, pero gané menos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aumenta un poco sus horas,Trabajaría algunas horas más,Reduciría sus horas,Mayor que antes,"Mantuvo sus horas, ganó menos","Seguir, manteniendo horas",Masculino,18 - 24  años,Secundaria,Santo Domingo,Sí,NA,650499072,a126a8c8-232b-4ee4-9639-0799b5335db7,2026-01-17T14:54:12Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,16,15,1,"Conductor de Plataforma (Uber, Didi, etc.)",Secundaria,18 - 24  años,Masculino,Santo Domingo,2,2,1
"Delivery (PedidosYa, rappi, etc.)",NA,2024,10-20 horas,NA,Automóvil,11-15 pedidos,Se mantuvo igual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aumenta significativamente sus horas,Trabajaría muchas más horas,Reduciría sus horas,No sé / No he hecho el cálculo,"Mantuvo sus horas, ganó menos","Seguir, manteniendo horas",Masculino,18 - 24  años,Universitario (en curso),Santo Domingo,Sí,NA,650518150,a89a312b-55d2-4899-9d9c-eb6b870be8c2,2026-01-17T15:30:08Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,17,15,0,"Delivery (PedidosYa, rappi, etc.)",Universitario (en curso),18 - 24  años,Masculino,Santo Domingo,3,3,1
"Delivery (PedidosYa, rappi, etc.)",NA,2019 o antes,Más de 40 horas,"No, es un complemento",Motocicleta,16+ pedidos,Disminuyó mucho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Disminuye sus horas,Trabajaría muchas más horas,Dejaría completamente la plataforma,Mayor que antes,Aumentó sus horas,"Seguir, aumentando horas",Masculino,18 - 24  años,Secundaria,Puerto Plata,No,NA,650518737,d039b3ca-043e-49e4-b5d2-5c857f5f89cf,2026-01-17T15:31:27Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,18,45,0,"Delivery (PedidosYa, rappi, etc.)",Secundaria,18 - 24  años,Masculino,Puerto Plata,0,3,0
"Delivery (PedidosYa, rappi, etc.)",NA,2020,Más de 40 horas,"Sí, es mi ingreso principal",Motocicleta,16+ pedidos,Aumentó poco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No cambia sus horas,Trabajaría algunas horas más,Mantendría sus horas actuales,Mayor que antes,"Mantuvo sus horas, ganó menos","Seguir, manteniendo horas",Masculino,18 - 24  años,Primaria,Santo Domingo,Sí,NA,650519472,2bca4c8a-9c53-44cc-bb43-76901b2def80,2026-01-17T15:33:08Z,Approved,NA,submitted_via_web,NA,vMar2eobaovNLXogDnxiiB,NA,19,45,1,"Delivery (PedidosYa, rappi, etc.)",Primaria,18 - 24  años,Masculino,Santo Domingo,1,2,0
"Conductor de Plataforma (Uber, Didi, etc.)",NA,2024,Menos de 10 horas,"No, es un complemento",NA,NA,NA,NA,NA,NA,NA,NA,NA,Automóvil propio,1-5 viajes,Cambié a horas de mayor demanda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aumenta un poco sus horas,Trabajaría algunas horas más,Dejaría completamente la plataforma,Mayor que antes,"Mantuvo sus horas, ganó menos",Reducir progresivamente,Masculino,18 - 24  años,Secundaria,Azua,No,NA,650519612,d54150a2-7a66-4cef-942b-24457f027a06,2026-01-17T15:33:34Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,20,5,0,"Conductor de Plataforma (Uber, Didi, etc.)",Secundaria,18 - 24  años,Masculino,Azua,2,2,1
"Conductor de Plataforma (Uber, Didi, etc.)",NA,2019 o antes,10-20 horas,"Sí, es mi único ingreso",NA,NA,NA,NA,NA,NA,NA,NA,NA,Automóvil propio,16+ viajes,Trabajé más horas para compensar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aumenta significativamente sus horas,Trabajaría muchas más horas,Reduciría sus horas,Igual que antes,Aumentó sus horas,"Seguir, manteniendo horas",Masculino,18 - 24  años,Universitario (en curso),Distrito Nacional,Sí,NA,650613539,780b9ce4-5ce3-4f80-9ada-efdcd3546db7,2026-01-17T19:10:20Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,21,15,1,"Conductor de Plataforma (Uber, Didi, etc.)",Universitario (en curso),18 - 24  años,Masculino,Distrito Nacional,3,3,0
Freelancer Digital,NA,2025,Menos de 10 horas,"No, es un ingreso ocasional",NA,NA,NA,Mercado local,0,0,1,Mayormente locales (DOP),No cobro en dólares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No cambia sus horas,Trabajaría algunas horas más,Mantendría sus horas actuales,No sé / No he hecho el cálculo,Cambié de plataforma,"Seguir, aumentando horas",Femenino,18 - 24  años,Universitario (en curso),Santo Domingo,Sí,NA,650632840,bb2af865-1cfa-419c-99c8-ac6f07406903,2026-01-17T20:12:10Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,22,5,0,Freelancer Digital,Universitario (en curso),18 - 24  años,Femenino,Santo Domingo,1,2,1
Freelancer Digital,NA,2021,21-30 horas,"Sí, es mi único ingreso",NA,NA,NA,Mercado local,0,0,1,Mayormente locales (DOP),No noté diferencia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No cambia sus horas,Trabajaría algunas horas más,Mantendría sus horas actuales,Mayor que antes,"Mantuvo sus horas, ganó menos","Seguir, manteniendo horas",Femenino,35-44 años,Universitario (en curso),Santo Domingo,No,NA,651056776,cb701245-cc16-4b06-b090-4e7cd4c10f02,2026-01-18T19:43:03Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,23,25,1,Freelancer Digital,Universitario (en curso),35-44 años,Femenino,Santo Domingo,1,2,0
Freelancer Digital,NA,2020,21-30 horas,"Sí, es mi único ingreso",NA,NA,NA,Mercado local,0,0,1,Mayormente locales (DOP),No noté diferencia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No cambia sus horas,Trabajaría algunas horas más,Mantendría sus horas actuales,Mayor que antes,Aumentó sus horas,Reducir progresivamente,Femenino,18 - 24  años,Universitario (graduado),Santo Domingo,No,NA,651057986,e0881814-d0e9-4156-bae5-ba27ea1f879e,2026-01-18T19:47:11Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,24,25,1,Freelancer Digital,Universitario (graduado),18 - 24  años,Femenino,Santo Domingo,1,2,0
Freelancer Digital,NA,2025,Menos de 10 horas,"No, es un ingreso ocasional",NA,NA,NA,Upwork/Fiverr Mercado local,1,0,1,Mix 50/50,No noté diferencia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No cambia sus horas,Trabajaría las mismas horas,Reduciría sus horas,Mayor que antes,"Mantuvo sus horas, ganó menos","Seguir, aumentando horas",Masculino,18 - 24  años,Secundaria,Santo Domingo,Sí,NA,651059246,65be8058-ece1-4cca-a9ae-06d910e41ab9,2026-01-18T19:51:44Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,25,5,0,Freelancer Digital,Secundaria,18 - 24  años,Masculino,Santo Domingo,1,1,1
Freelancer Digital,NA,2024,Más de 40 horas,"Sí, es mi ingreso principal",NA,NA,NA,Mercado local,0,0,1,Mix 50/50,Me benefició significativamente,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Disminuye sus horas,Trabajaría menos horas,Reduciría sus horas,Mayor que antes,Aumentó sus horas,Dejar cuando encuentre otra cosa,Masculino,18 - 24  años,Secundaria,Santo Domingo,No,NA,651059820,e6bf7d3b-42c2-446c-a1e9-c406df0b7173,2026-01-18T19:54:38Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,26,45,1,Freelancer Digital,Secundaria,18 - 24  años,Masculino,Santo Domingo,0,0,1
Freelancer Digital,NA,2023,Menos de 10 horas,"Sí, es mi único ingreso",NA,NA,NA,Mercado local,0,0,1,Mayormente locales (DOP),No noté diferencia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No cambia sus horas,Trabajaría algunas horas más,Dejaría completamente la plataforma,Mayor que antes,"Mantuvo sus horas, ganó menos",Dejar cuando encuentre otra cosa,Femenino,35-44 años,Universitario (graduado),Santo Domingo,Sí,NA,651069682,360eaf61-1104-4d02-bb0c-bb44a9543a77,2026-01-18T20:28:28Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,27,5,1,Freelancer Digital,Universitario (graduado),35-44 años,Femenino,Santo Domingo,1,2,1
Freelancer Digital,NA,2025,Más de 40 horas,"Sí, es mi único ingreso",NA,NA,NA,Mercado local,0,0,1,Mayormente locales (DOP),Me benefició un poco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No cambia sus horas,Trabajaría algunas horas más,Reduciría sus horas,Igual que antes,"Mantuvo sus horas, ganó menos",Dejar cuando encuentre otra cosa,Femenino,18 - 24  años,Universitario (graduado),Santo Domingo,No,NA,651070216,77a075ec-7b3b-4cbd-a7d5-68ac65eb475b,2026-01-18T20:31:56Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,28,45,1,Freelancer Digital,Universitario (graduado),18 - 24  años,Femenino,Santo Domingo,1,2,1
Freelancer Digital,NA,2025,31-40 horas,"Sí, es mi ingreso principal",NA,NA,NA,Mercado local,0,0,1,Mayormente locales (DOP),No noté diferencia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aumenta significativamente sus horas,Trabajaría algunas horas más,Mantendría sus horas actuales,Mayor que antes,"Mantuvo sus horas, ganó menos","Seguir, aumentando horas",Masculino,35-44 años,Universitario (graduado),Santo Domingo,No,NA,651070702,54da91f2-cb4d-460e-b90e-1c85d7be3565,2026-01-18T20:34:57Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,29,35,1,Freelancer Digital,Universitario (graduado),35-44 años,Masculino,Santo Domingo,3,2,1
